TeamID,TeamName,SportName,LevelName,Strength,TravelLimit,Site,SubSite,BillTo,HighSchool
"3977","EAST GREENWICH SA EGSA BLAZE 2010","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3981","EAST GREENWICH SA EGSA CHAOS 2016","Soccer","U-8","5","999","E GREENWICH - THOMPSON FAMILY PARK","S7","Not Set","Not Set",
"3889","EAST GREENWICH SA EGSA CHARGERS 2010","Soccer","U-14","5","999","Not Set","Not Set","Not Set","Not Set",
"3943","EAST GREENWICH SA EGSA DYNAMO 2013","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Set",
"3782","EAST GREENWICH SA EGSA EAGLES 2014","Soccer","U-10","5","999","Not Set","Not Set","Not Set","Not Set",
"4132","EAST GREENWICH SA EGSA FLYERS 2015","Soccer","U-9","5","999","Not Set","Not Set","Not Set","Not Set",
"3862","EAST GREENWICH SA EGSA FURY 2011","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Set",
"3696","EAST GREENWICH SA EGSA HORNETS 2007","Soccer","U-17","5","999","E GREENWICH - THOMPSON FAMILY PARK","F2","Not Set","Not Set",
"3978","EAST GREENWICH SA EGSA MAYHEM 2013","Soccer","U-11","5","999","E GREENWICH - THOMPSON FAMILY PARK","F1","Not Set","Not Set",
"3706","EAST GREENWICH SA EGSA PANTHERS 2013","Soccer","U-11","5","999","E GREENWICH - THOMPSON FAMILY PARK","F1","Not Set","Not Set",
"3827","EAST GREENWICH SA EGSA RANGERS 2012","Soccer","U-12","5","999","E GREENWICH - THOMPSON FAMILY PARK","F1","Not Set","Not Set",
"4027","EAST GREENWICH SA EGSA STARS 2014","Soccer","U-10","5","999","E GREENWICH - THOMPSON FAMILY PARK","S7.2","Not Set","Not Set",
"3863","EAST GREENWICH SA EGSA THUNDER 2009","Soccer","U-15","5","999","E GREENWICH - THOMPSON FAMILY PARK","F2","Not Set","Not Set",
"3828","EAST GREENWICH SA EGSA TIGERS 2015","Soccer","U-9","5","999","E GREENWICH - THOMPSON FAMILY PARK","S7","Not Set","Not Set",
"3704","EAST GREENWICH SA EGSA TITANS 2014","Soccer","U-10","5","999","E GREENWICH - THOMPSON FAMILY PARK","S7","Not Set","Not Set",
"4115","EAST GREENWICH SA EGSA VENOM 2012","Soccer","U-12","5","999","E GREENWICH - THOMPSON FAMILY PARK","F1","Not Set","Not Set",
"4060","EDGEWATER PARK ATHLETIC ASSOCIATION EP DEFENDERS 2","Soccer","U-13","5","999","EPAA - Weimann Sports Complex","Edgewater Park - Field of Dreams","Not Set","Not Listed",
"3419","EDGEWATER PARK ATHLETIC ASSOCIATION EP PHOENIX 200","Soccer","U-17","5","999","EPAA - Weimann Sports Complex","Edgewater Park - Field of Dreams","Not Set","Not Listed",
"3935","EDGEWATER PARK ATHLETIC ASSOCIATION EP WIZARDS 201","Soccer","U-14","5","999","EPAA - Weimann Sports Complex","Edgewater Park - Field of Dreams","Not Set","Not Listed",
"4154","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES 2009","Soccer","U-15","5","999","EGG HARBOR - BARGAINTOWN","F1","Not Set","Not Set",
"3841","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES 2014 B","Soccer","U-10","5","999","EGG HARBOR - BARGAINTOWN","S7","Not Set","Not Listed",
"3997","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES 2014 W","Soccer","U-10","5","999","EGG HARBOR - BARGAINTOWN","S7","Not Set","Not Listed",
"3720","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES 2015","Soccer","U-9","5","999","EGG HARBOR - BARGAINTOWN","S7","Not Set","Not Listed",
"4097","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES 2016","Soccer","U-8","5","999","EGG HARBOR - BARGAINTOWN","S7","Not Set","Not Set",
"3304","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES BLACK ","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Listed",
"3327","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES BLACK ","Soccer","U-12","5","999","EGG HARBOR - BARGAINTOWN","S9","Not Set","Not Listed",
"4043","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES BLACK ","Soccer","U-13","5","999","Not Set","Not Set","Not Set","Not Listed",
"3296","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES WHITE ","Soccer","U-11","5","999","Not Set","Not Set","Not Set","Not Listed",
