TeamID,TeamName,SportName,LevelName,Strength,TravelLimit,Site,SubSite,BillTo,HighSchool
2853,PENNS GROVE SCPENNS GROVE THUNDER 2009,Soccer,U-14,5,999,PG-CP-PED- Carney's Point Rec Center,F1,Not Set,Not Set
2934,PENNS GROVE SCPENNS GROVE WILD 2013,Soccer,U-10,5,999,PG-CP-PED- Carney's Point Rec Center,S7,Not Set,Not Set
3054,PENNSAUKEN YOUTH SOCCER CLUB AVENGERS 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
2723,PENNSAUKEN YOUTH SOCCER CLUB CYCLONES 2010,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
2746,PENNSAUKEN YOUTH SOCCER CLUB FURY 2008,Soccer,U-15,5,999,Pennsauken Community Recreation Facility,F1,Not Set,Not Set
2744,PENNSAUKEN YOUTH SOCCER CLUB HURRICANES 2010,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
3224,PENNSAUKEN YOUTH SOCCER CLUB LIONS 2015,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Set
2999,PENNSAUKEN YOUTH SOCCER CLUB REBELS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
2863,PENNSAUKEN YOUTH SOCCER CLUB STORM 2009,Soccer,U-14,5,999,Pennsauken Community Recreation Facility,F1,Not Set,Not Set
3005,PENNSAUKEN YOUTH SOCCER CLUB WARRIORS 2011,Soccer,U-12,5,999,Pennsauken Community Recreation Facility,S7,Not Set,Not Set
3078,PENNSAUKEN YOUTH SOCCER CLUB WOLF PACK 2008,Soccer,U-15,5,999,Pennsauken Community Recreation Facility,F1,Not Set,Not Set
2866,PENNSVILLE SOCCER ASSOCIATION EAGLES 2010,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
3057,PENNSVILLE SOCCER ASSOCIATION EAGLES 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
2948,PENNSVILLE SOCCER ASSOCIATION EAGLES 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
2846,PENNSVILLE SOCCER ASSOCIATION EAGLES 2014,Soccer,U-9,5,999,PENNSVILLE,S7,Not Set,Not Set
2735,PENNSVILLE SOCCER ASSOCIATION HAWKS 2010,Soccer,U-13,5,999,PENNSVILLE,F1,Not Set,Not Set
3514,PITMAN SA  BENGALS 2014,Soccer,U-9,5,999,PITMAN - Dell,Pitman - Dell,Not Set,Not Set
3469,PITMAN SA  JAGUARS 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
3225,PITMAN SA  LIONS 2009,Soccer,U-14,5,999,PITMAN - ALCYON LAKE,F1,Not Set,Not Set
3241,PITMAN SA  PUMAS 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
3497,PITMAN SA  TIGERS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3513,PITMAN SA  TOMCATS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3318,PITMAN SA  WILDCATS 2015,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Set
2673,PITMAN SA BENGALS 2014,Soccer,U-9,5,999,PITMAN - Dell,Pitman - Dell,Not Set,Not Listed
2854,PITMAN SA BOBCATS 2009,Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Set
2541,PITMAN SA JAGUARS 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Listed
2461,PITMAN SA PUMAS 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Listed
2614,PITMAN SA TIGERS 2013,Soccer,U-10,5,999,PITMAN - Dell,Pitman - Dell,Not Set,Not Listed
2391,PITMAN SA TOMCATS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Listed
3012,PITMAN SA WILDCATS 2015,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Set
2974,PITTSGROVE SOCCER CLUB CRUSH 2010,Soccer,U-13,5,999,PITTSGROVE-GREEN BRANCH,F1,Not Set,Not Set
2760,PITTSGROVE SOCCER CLUB DRAGONS 2013,Soccer,U-10,5,999,PITTSGROVE-GREEN BRANCH,S7,Not Set,Not Set
2741,PITTSGROVE SOCCER CLUB FLYERS BLACK 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3048,PITTSGROVE SOCCER CLUB FLYERS GREEN 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
2869,PITTSGROVE SOCCER CLUB FORCE 2009,Soccer,U-14,5,999,PITTSGROVE-GREEN BRANCH,F1,Not Set,Not Set
2731,PITTSGROVE SOCCER CLUB JUVENTUS 2007,Soccer,U-16,5,999,PITTSGROVE-GREEN BRANCH,F1,Not Set,Not Set
3058,PITTSGROVE SOCCER CLUB MAVERICKS 2014,Soccer,U-9,5,999,PITTSGROVE-GREEN BRANCH,S7,Not Set,Not Set
2813,PITTSGROVE SOCCER CLUB PHANTOMS 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3323,PITTSGROVE SOCCER CLUB PSC CRUSH 2010,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
3309,PITTSGROVE SOCCER CLUB PSC DRAGONS 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3250,PITTSGROVE SOCCER CLUB PSC FLYERS BLACK 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3517,PITTSGROVE SOCCER CLUB PSC FLYERS GREEN 2014,Soccer,U-9,5,999,PITTSGROVE-GREEN BRANCH,S7,Not Set,Not Set
3509,PITTSGROVE SOCCER CLUB PSC FORCE '09,Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Set
3420,PITTSGROVE SOCCER CLUB PSC JUVENTUS '07,Soccer,U-17,5,999,Not Set,Not Set,Not Set,Not Set
3347,PITTSGROVE SOCCER CLUB PSC MAVERICKS 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3474,PITTSGROVE SOCCER CLUB PSC PHANTOMS 2014,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3375,PITTSGROVE SOCCER CLUB PSC PYTHONS '13,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3379,PITTSGROVE SOCCER CLUB PSC REBELS '12,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
3354,PITTSGROVE SOCCER CLUB PSC REVOLUTION 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3197,PITTSGROVE SOCCER CLUB PSC SPURS '12,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
3488,PITTSGROVE SOCCER CLUB PSC WARRIORS 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
3507,PITTSGROVE SOCCER CLUB PSC WOLVES 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
2827,PITTSGROVE SOCCER CLUB PYTHONS 2013,Soccer,U-10,5,999,PITTSGROVE-GREEN BRANCH,S7,Not Set,Not Set
2764,PITTSGROVE SOCCER CLUB REBELS 2012,Soccer,U-11,5,999,PITTSGROVE-GREEN BRANCH,S9,Not Set,Not Set
2932,PITTSGROVE SOCCER CLUB REVOLUTION 2013,Soccer,U-10,5,999,PITTSGROVE-GREEN BRANCH,S7,Not Set,Not Set
2712,PITTSGROVE SOCCER CLUB SPURS 2012,Soccer,U-11,5,999,PITTSGROVE-GREEN BRANCH,S9,Not Set,Not Set
2798,PITTSGROVE SOCCER CLUB WARRIORS 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
2824,PITTSGROVE SOCCER CLUB WOLVES 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
3155,PRINCETON FC EDP/B,Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Set
3156,PSA EDP/G,Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Set
3183,RANCOCAS VALLEY EDP/G,Soccer,U-15,5,999,Not Set,Not Set,Not Set,Not Set
3505,RANCOCAS VALLEY SC  2014 - CELTIC,Soccer,U-9,5,999,Not Set,Not Set,Not Set,Not Set
3491,RANCOCAS VALLEY SC  AVENGERS 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Set
3489,RANCOCAS VALLEY SC  BOYS STEALTH 2015,Soccer,U-8,5,999,Not Set,Not Set,Not Set,Not Set
3518,RANCOCAS VALLEY SC  MESSI 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3267,RANCOCAS VALLEY SC  REBELS 2009,Soccer,U-14,5,999,Not Set,Not Set,Not Set,Not Set
3484,RANCOCAS VALLEY SC  RED DEVILS 2011,Soccer,U-12,5,999,Not Set,Not Set,Not Set,Not Set
3461,RANCOCAS VALLEY SC  RONALDO 2013,Soccer,U-10,5,999,Not Set,Not Set,Not Set,Not Set
3515,RANCOCAS VALLEY SC  UNION 2010,Soccer,U-13,5,999,Not Set,Not Set,Not Set,Not Set
2439,RANCOCAS VALLEY SC AVENGERS 2012,Soccer,U-11,5,999,Not Set,Not Set,Not Set,Not Listed
2966,RANCOCAS VALLEY SC BOYS 2015,Soccer,U-8,5,999,Rancocas Vallley-HAINESPORT MUNICIPAL PARK,S7,Not Set,Not Set
