GameID,Date,Time,Status,SiteName,SubSiteName,BillToName,SportName,LevelName,HomeTeams,AwayTeams,Officials
"18755542","3/30/2025","12:15 PM","Normal","HADD HGTS - DEVON","S9","","Soccer","U-11","HADDON HEIGHTS SC 2014 MIGHTY TITANS","CHERRY HILL SC FORCE 2014",
"18763782","3/30/2025","12:30 PM","Normal","HADDONFIELD - CROWS WOODS","F1","","Soccer","U-13","HADDONFIELD SC BLACK 2012","EPAA  UNITED 2012",
"18752613","3/30/2025","2:00 PM","Normal","HADDONFIELD - CROWS WOODS","F1","","Soccer","U-15","HADDONFIELD SC WHITE 2010","TBAA DYNAMO 2010",
"18750895","3/30/2025","3:40 PM","Normal","HADDONFIELD - CROWS WOODS","F1","","Soccer","U-14","HADDONFIELD SC RED 2011","EGG HARBOR SC EAGLES BLACK 2011",
"18755572","3/30/2025","12:30 PM","Normal","HADDONFIELD - CROWS WOODS","S7","","Soccer","U-10","HADDONFIELD SC RED 2015 B","CINNAMINSON SC PRIME 2015",
"18752461","3/30/2025","2:00 PM","Normal","HADDONFIELD - CROWS WOODS","S7","","Soccer","U-9","HADDONFIELD SC GREY 2016","HIGHLAND YOUTH SOCCER CLUB HAVOK 2016",
"18700891","3/30/2025","3:30 PM","Normal","HADDONFIELD - CROWS WOODS","S7","","Soccer","U-9","HADDONFIELD SC BLACK 2016 B","MEDFORD SC GOLD 2016",
"18695957","3/30/2025","12:30 PM","Normal","HADDONFIELD - CROWS WOODS","S9","","Soccer","U-11","HADDONFIELD SC RED 2014 B","MARLTON SC CHIEFS WHITE 2014",
"18700819","3/30/2025","2:00 PM","Normal","HADDONFIELD - CROWS WOODS","S9","","Soccer","U-12","HADDONFIELD SC WHITE 2013","PALMYRA RIVERTON SC HURRICANES 2013",
"18747960","3/30/2025","3:30 PM","Normal","HADDONFIELD - CROWS WOODS","S9","","Soccer","U-11","HADDONFIELD SC BLACK 2014","BORDENTOWN FC UNION 2014",
"18819048","3/30/2025","12:00 PM","Normal","HAMMONTON - MOSS MILL RD PARK SOCCER COMPLEX","F1","","Soccer","U-14","HAMMONTON HEAT BOYS 2011","PALMYRA RIVERTON SC WARRIORS 2011",
"18762678","3/30/2025","1:30 PM","Normal","HAMMONTON - MOSS MILL RD PARK SOCCER COMPLEX","S7","","Soccer","U-8","HAMMONTON HEAT BOYS 2017","WASHINGTON TWP SOCCER CLUB WOLVES 2017",
"18755511","3/30/2025","2:45 PM","Normal","HAMMONTON - MOSS MILL RD PARK SOCCER COMPLEX","S9","","Soccer","U-12","HAMMONTON HEAT BOYS 2013","EGG HARBOR SC EAGLES 2013 BLACK",
"18755541","3/30/2025","4:00 PM","Normal","HAMMONTON - MOSS MILL RD PARK SOCCER COMPLEX","S9","","Soccer","U-11","HAMMONTON HEAT BOYS 2014","AUDUBON ATTACK - BOYS 2014",
"18783567","3/30/2025","11:00 AM","Normal","HARRISON - William Wilt Soccer Complex","F1","","Soccer","U-13","HARRISON WILDCATS 2012","HADDON TWP WHITE HAWKS 2012",
"18770971","3/30/2025","12:30 PM","Normal","HARRISON - William Wilt Soccer Complex","F1","","Soccer","U-14","HARRISON SC ARSENAL 2011","PEMBERTON SC PUNISHERS 2011",
"18683040","3/30/2025","2:00 PM","Normal","HARRISON - William Wilt Soccer Complex","F1","","Soccer","U-19","HARRISON TITANS FvöTBOL ACADEMY","PALMYRA RIVERTON SC LEGACY 2006",
"18685839","3/30/2025","3:40 PM","Normal","HARRISON - William Wilt Soccer Complex","F1","","Soccer","U-14","HARRISON SC THUNDER 2011","PITTSGROVE SOCCER CLUB PSC WOLVES '11",
"18753512","3/30/2025","12:00 PM","Normal","HARRISON - William Wilt Soccer Complex","S7","","Soccer","U-10","HARRISON STRIKERS 2015","SWSA STRIKERS 2015",
"18770607","3/30/2025","1:15 PM","Normal","HARRISON - William Wilt Soccer Complex","S7","","Soccer","U-10","HARRISON BLUE ARSENAL 2015","CINNAMINSON SC PIRATES SEA DOGS 2015",
"18762677","3/30/2025","2:30 PM","Normal","HARRISON - William Wilt Soccer Complex","S7","","Soccer","U-8","HARRISON HURRICANES 2017","DEPTFORD SA SCORPIONS 2017",
"18762647","3/30/2025","3:45 PM","Normal","HARRISON - William Wilt Soccer Complex","S7","","Soccer","U-10","HARRISON BLUE REBELS 2015","ATLANTIC UNITED PREMIER FIRE 2015 B",
